รเ1spindleLoad,รเ1 spindleSpeed,Feed
0.073242188,0,0
0.054931641,0,0
0.067138672,0,0
0.048828125,0,0
0.061035156,0,0
0.061035156,0,0
0.054931641,0,0
0.054931641,0,0
0.054931641,0,0
0.073242188,0,0
0.042724609,0,0
0.042724609,0,0
0.067138672,0,0
0.054931641,0,0
0.079345703,0,0
0.054931641,0,0
0.054931641,0,0
0.067138672,0,0
0.036621094,0,0
0.036621094,0,0
0.061035156,0,0
0.054931641,0,0
0.042724609,0,0
0.054931641,0,0
0.048828125,0,0
0.036621094,0,0
0.048828125,0,0
0.036621094,0,0
0.054931641,0,0
0.054931641,0,0
0.048828125,0,0
0.048828125,0,0
9.112548828,1951.391602,0
0.622558594,3001.245117,0
0.573730469,3000.878906,55320
0.646972656,3001.245117,2
1.617431641,2999.34082,2
1.416015625,2998.535156,2
2.703857422,3001.245117,0
1.678466797,3001.171875,0
2.709960938,2998.535156,75
2.722167969,2999.34082,0
0.628662109,3001.245117,0
0.671386719,2999.34082,2
1.397705078,2999.34082,2
0.592041016,3000.878906,2
0.622558594,2999.34082,2
1.672363281,2999.34082,75
0.640869141,2999.414063,40
1.409912109,2998.461914,40
2.740478516,3000.073242,2000
1.379394531,2999.926758,2000
1.434326172,2998.535156,2000
0.610351563,3000.952148,0
1.696777344,3000.878906,8000
1.428222656,2998.535156,8000
0.537109375,2998.535156,8000
0.567626953,2999.926758,0
0.549316406,3000,6400
0.598144531,3000,6400
11.95068359,2663.085938,6248
10.07080078,933.5449219,6000
0.036621094,0,0
0.030517578,0,0
0.054931641,0,0
0.061035156,0,0
0.030517578,0,0
0.042724609,0,0
0.054931641,0,0
0.042724609,0,0
0.042724609,0,0
0.042724609,0,0
0.054931641,0,0
0.042724609,0,0
0.048828125,0,0
0.054931641,0,0
0.061035156,0,0
0.042724609,0,0
0.036621094,0,0
0.030517578,0,0
0.036621094,0,0
0.061035156,0,0
0.048828125,0,0
0.048828125,0,0
0.030517578,0,0
0.036621094,0,0
0.048828125,0,0
0.042724609,0,0
0.048828125,0,0
0.054931641,0,0
0.048828125,0,0
0.061035156,0,0
0.054931641,0,0
0.042724609,0,0
0.042724609,0,0
0.042724609,0,0
0.042724609,0,0
0.048828125,0,0
0.036621094,0,0
0.030517578,0,0
0.054931641,0,0
0.042724609,0,0
0.048828125,0,0
0.048828125,0,0
0.036621094,0,0
0.030517578,0,0
0.036621094,0,0
0.024414063,0,0
0.036621094,0,0
0.036621094,0,0
0.042724609,0,0
0.030517578,0,0
0.054931641,0,0
0.042724609,0,0
0.061035156,0,0
0.042724609,0,0
0.054931641,0,0
0.054931641,0,0
0.030517578,0,0
0.024414063,0,0
0.048828125,0,0
0.036621094,0,0
0.042724609,0,0
0.042724609,0,0
0.036621094,0,0
0.030517578,0,0
0.030517578,0,0
0.036621094,0,0
0.042724609,0,0
0.042724609,0,0
0.036621094,0,0
0.018310547,0,0
0.054931641,0,0
0.042724609,0,0
0.048828125,0,0
0.042724609,0,0
0.054931641,0,0
0.054931641,0,0
0.048828125,0,0
0.048828125,0,0
0.048828125,0,0
0.036621094,0,0
0.042724609,0,0
0.048828125,0,0
0.036621094,0,0
0.030517578,0,0
0.024414063,0,0
0.030517578,0,0
0.030517578,0,0
0.030517578,0,0
0.048828125,0,0
0.030517578,0,0
0.030517578,0,0
0.054931641,0,0
